0,1,1,0,A,0
0,2,1,0,A,0
0,1,1,0,S,0
5,1,1,0,F,0
5,3,0,0,A,0
5,2,1,0,S,0
10,1,2,0,A,0
10,4,0,0,A,0
15,2,1,0,F,0
15,3,0,0,S,0
20,1,3,0,A,0
20,2,2,0,A,0
30,1,4,0,A,0
35,3,0,0,F,0
35,1,2,0,S,0
40,1,2,0,F,0
40,1,5,0,A,0
40,2,3,0,A,0
40,4,0,0,S,0
50,1,6,0,A,0
55,4,0,0,F,0
55,1,3,0,S,0
60,1,3,0,F,0
60,1,7,0,A,0
60,2,4,0,A,0
60,2,2,0,S,0
70,2,2,0,F,0
70,1,8,0,A,0
70,1,4,0,S,0
75,1,4,0,F,0
75,1,5,0,S,0
80,1,5,0,F,0
80,1,9,0,A,0
80,2,5,0,A,0
80,2,3,0,S,0
90,2,3,0,F,0
90,1,10,0,A,0
90,1,6,0,S,0
95,1,6,0,F,0
95,1,7,0,S,0
100,1,7,0,F,0
100,1,11,0,A,0
100,2,6,0,A,0
100,2,4,0,S,0
110,2,4,0,F,0
110,1,12,0,A,0
110,1,8,0,S,0
115,1,8,0,F,0
115,1,9,0,S,0
120,1,9,0,F,0
120,1,13,0,A,0
120,2,7,0,A,0
120,2,5,0,S,0
130,2,5,0,F,0
130,1,10,0,S,0
